Filename,Peak_dB
A323_mov_v_2.mp4,-76.56256412356471
A417_anx_p_2.mp4,-52.45885594150956
A205_env_v_2.mp4,-58.938832108081904
A303_fea_p_2.mp4,-36.29760559109337
A424_ten_v_3.mp4,-57.23850674120537
A55_exc_p_3.mp4,-42.57358846467062
A425_dist_p_2.mp4,-38.86093215725415
A102_mov_p_2.mp4,-55.117682525699195
A55_scha_v_3_ver1.mp4,-46.4096727733435
A426_disg_p_2.mp4,-55.9520536645816
A425_ten_p_3.mp4,-57.86076725200094
A72_hap_p_2.mp4,-44.29550496738776
A67_conf_p_2.mp4,-52.3435584399643
A332_reg_v_3.mp4,-52.188536537674025
A55_conc_p_2.mp4,-63.78922333446451
A227_adm_v_2.mp4,-48.51347538188212
A91_sad_v_2.mp4,-56.827840916615884
A425_mov_p_3.mp4,-55.570202017329734
A67_anx_v_3.mp4,-49.05661833547751
A424_neu_sit1_v.mp4,-57.143386515297145
A102_neu_sit2_v.mp4,-66.55956405102486
A200_hop_p_2.mp4,-61.59092276502555
A323_neu_sit2_v.mp4,-80.99515867105112
A55_bor_p_2.mp4,-59.06145582263487
A405_gra_p_2.mp4,-54.854897195860914
A67_rej_v_2.mp4,-53.866861560773714
A417_nos_p_3.mp4,-55.68950063780854
A102_sha_p_2.mp4,-67.41694641775202
A221_gra_p_2.mp4,-48.868165355655236
A425_ten_v_2.mp4,-63.798379370246664
A334_rej_v_3.mp4,-59.62508904099326
A55_rel_p_2.mp4,-44.45382724563859
A425_rel_p_3.mp4,-51.56777259308701
A102_ins_p_2.mp4,-56.677110300452554
A424_emb_v_2.mp4,-65.26048883308417
A220_bor_p_3.mp4,-52.606839588345046
A424_pos_sur_v_2.mp4,-73.96405418842053
A337_disg_p_3.mp4,-32.99490776957718
A334_conc_v_3.mp4,-80.38102947571866
A102_conc_v_2.mp4,-63.85487606741098
A435_sar_p_2.mp4,-66.102014068702
A67_anx_p_3.mp4,-44.05602362813876
A200_ple_v_2.mp4,-53.581521648032655
A410_disg_v_3.mp4,-56.5540136971864
A220_hop_v_2.mp4,-53.74898750241245
A334_ten_p_3.mp4,-51.58017496563674
A207_ten_p_2.mp4,-56.69584427987126
A220_gra_v_2.mp4,-56.69639658267876
A207_sad_v_3.mp4,-48.35639681269825
A207_tri_p_2.mp4,-41.54072267771128
A327_pos_sur_p_3.mp4,-35.46541931646112
A323_sat_v_2.mp4,-55.93917095086272
A102_mov_v_3.mp4,-63.85885412448846
A323_env_v_2.mp4,-75.49117932022727
A67_disa_v_2.mp4,-75.00546195864187
A327_gra_p_3.mp4,-41.00391561325891
A437_disg_p_2.mp4,-55.22302326266052
A200_neu_sit4_v.mp4,-69.13297013721765
A405_nos_p_2.mp4,-62.07505358303319
A102_hap_v_2.mp4,-58.32650323597947
A91_gra_p_3.mp4,-50.647842721111076
A437_ple_v_2.mp4,-58.49097639928587
A221_neu_sit2_v.mp4,-63.934146045704885
A205_rel_p_2.mp4,-54.655610062251284
A405_anx_v_2.mp4,-60.115357193383936
A332_sar_p_2.mp4,-54.29836652626367
A426_dou_v_3.mp4,-72.97297078694446
A221_neu_sit4_v.mp4,-66.16819107139865
A55_sad_v_2_ver1.mp4,-77.84628267225409
A417_ins_p_2.mp4,-51.60373368313066
A437_conc_p_2.mp4,-60.68973864357926
A102_sat_v_2.mp4,-56.60825697929481
A102_hop_p_2.mp4,-55.91663684773258
A227_ins_v_2.mp4,-49.59111732305627
A426_sar_v_3.mp4,-62.44317010616567
A437_sex_v_2.mp4,-57.00891345863184
A303_hap_p_2.mp4,-35.57291409186143
A55_dist_v_2_ver1.mp4,-54.35250139077063
A303_awe_p_2.mp4,-47.25784336841767
A410_rej_p_2.mp4,-68.74796741881099
A424_sad_v_3.mp4,-75.33754544636412
